,,,,,,,,,,,,,,Performance,,,,,,,Standard,,,,,,,,
Rk,Player,Gls,Sh,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos.,HOME/AWAY
82,Ryan Hedges,1,1,3/15/2023,27-250,wls WAL,Blackburn,,Reading,eng Championship,W 2-1,N,22,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,12.6,0,"FW,DF",HOME
83,Dominic Hyam,1,2,9/13/2022,26-267,sct SCO,Blackburn,,Watford,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,4.7,0,DF,HOME
84,Dominic Hyam,1,1,2/24/2024,28-066,sct SCO,Blackburn,,Norwich City,eng Championship,D 1-1,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,9.2,0,DF,HOME
85,Tyrhys Dolan,1,2,10/23/2021,19-299,eng ENG,Blackburn,,Reading,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,22.8,0,"FW,MF",HOME
86,Tyrhys Dolan,1,3,10/1/2022,20-277,eng ENG,Blackburn,,Millwall,eng Championship,W 2-1,Y,64,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,15.7,0,"FW,MF",HOME
87,Tyrhys Dolan,1,2,9/3/2022,20-249,eng ENG,Blackburn,,Bristol City,eng Championship,L 2-3,N,45,1,1,2,1,0,0,0,2,0.50,0.50,2,100.0,11.5,0,"FW,MF",HOME
88,Tyrhys Dolan,1,1,9/11/2021,19-257,eng ENG,Blackburn,,Luton Town,eng Championship,D 2-2,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,10.7,0,"FW,MF",HOME
89,Tyrhys Dolan,1,3,2/21/2023,21-055,eng ENG,Blackburn,,Blackpool,eng Championship,W 1-0,Y,88,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,16.4,0,"FW,MF",HOME
90,Tyrhys Dolan,1,1,9/25/2021,19-271,eng ENG,Blackburn,,Cardiff City,eng Championship,W 5-1,Y,65,1,1,2,1,0,0,0,1,1.00,1.00,1,100.0,7.2,0,"FW,MF",HOME
91,Tyrhys Dolan,1,1,8/9/2024,22-225,eng ENG,Blackburn,,Derby County,eng Championship,W 4-2,Y,86,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,7.7,0,"FW,MF",HOME
92,Tyrhys Dolan,1,3,3/15/2022,20-077,eng ENG,Blackburn,,Derby County,eng Championship,W 3-1,Y,90,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,4.8,0,"FW,MF",HOME
93,Tyrhys Dolan,1,2,10/19/2024,22-296,eng ENG,Blackburn,,Swansea City,eng Championship,W 1-0,Y,70,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,13.0,0,"FW,MF",HOME
94,Danny Batth,1,2,9/28/2024,34-007,eng ENG,Blackburn,,QPR,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,5.0,0,DF,HOME
95,Arnór Sigurðsson,1,1,8/24/2024,25-101,is ISL,Blackburn,,Oxford United,eng Championship,W 2-1,N,15,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,14.4,0,"FW,MF",HOME
96,Arnór Sigurðsson,1,3,1/1/2024,24-231,is ISL,Blackburn,,Rotherham Utd,eng Championship,D 2-2,Y,90,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,13.9,0,"FW,MF",HOME
97,Arnór Sigurðsson,1,2,12/12/2023,24-211,is ISL,Blackburn,,Bristol City,eng Championship,W 2-1,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,16.8,0,"FW,MF",HOME
98,Todd Cantwell,1,3,11/30/2024,26-277,eng ENG,Blackburn,,Leeds United,eng Championship,W 1-0,Y,89,1,0,1,0,1,1,0,3,0.00,,0,0.0,19.6,0,"MF,FW",HOME
99,Harry Pickering,1,2,11/24/2021,22-330,eng ENG,Blackburn,,P'borough Utd,eng Championship,W 4-0,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,20.8,1,"DF,MF",HOME
100,Harry Pickering,1,1,9/11/2021,22-256,eng ENG,Blackburn,,Luton Town,eng Championship,D 2-2,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,10.6,0,"DF,MF",HOME
101,Harry Pickering,1,1,3/4/2023,24-065,eng ENG,Blackburn,,Sheffield Utd,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,12.7,0,DF,HOME
102,Amario Duberry,0,0,9/14/2024,19-108,eng ENG,Blackburn,,Bristol City,eng Championship,W 3-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
103,Amario Duberry,0,1,1/15/2025,19-231,eng ENG,Blackburn,,Portsmouth,eng Championship,W 3-0,N,35,0,0,0,0,0,0,0,1,0.00,,0,0.0,26.1,0,"FW,MF",HOME
104,Amario Duberry,0,1,9/28/2024,19-122,eng ENG,Blackburn,,QPR,eng Championship,W 2-0,N,14,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.7,0,"FW,MF",HOME
105,Amario Duberry,0,2,1/4/2025,19-220,eng ENG,Blackburn,,Burnley,eng Championship,L 0-1,Y,74,0,0,0,0,0,0,0,2,0.00,,0,0.0,21.1,0,"FW,MF",HOME
106,Amario Duberry,0,1,12/29/2024,19-214,eng ENG,Blackburn,,Hull City,eng Championship,L 0-1,Y,83,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.0,0,"FW,MF",HOME
107,Amario Duberry,0,0,12/26/2024,19-211,eng ENG,Blackburn,,Sunderland,eng Championship,D 2-2,N,31,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
108,Amario Duberry,0,1,1/21/2025,19-237,eng ENG,Blackburn,,Coventry City,eng Championship,L 0-2,N,33,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.5,0,"FW,MF",HOME
109,Semir Telalovic,0,0,3/29/2024,24-097,de GER,Blackburn,,Ipswich Town,eng Championship,L 0-1,N,9,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
110,Semir Telalovic,0,0,9/16/2023,23-267,de GER,Blackburn,,Middlesbrough,eng Championship,W 2-1,N,32,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
111,Semir Telalovic,0,3,1/1/2024,24-009,de GER,Blackburn,,Rotherham Utd,eng Championship,D 2-2,Y,63,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,15.7,0,FW,HOME
112,Semir Telalovic,0,1,9/20/2023,23-271,de GER,Blackburn,,Sunderland,eng Championship,L 1-3,N,8,0,0,0,0,0,0,0,1,0.00,,0,0.0,20.8,0,FW,HOME
113,Semir Telalovic,0,2,2/3/2024,24-042,de GER,Blackburn,,QPR,eng Championship,L 1-2,N,6,0,0,0,0,0,0,0,2,0.00,,0,0.0,15.9,0,FW,HOME
114,Semir Telalovic,0,0,2/10/2024,24-049,de GER,Blackburn,,Stoke City,eng Championship,W 3-1,N,25,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
115,Semir Telalovic,0,0,10/1/2023,23-282,de GER,Blackburn,,Leicester City,eng Championship,L 1-4,N,8,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
116,Semir Telalovic,0,1,1/20/2024,24-028,de GER,Blackburn,,Huddersfield,eng Championship,D 1-1,N,21,0,0,0,0,0,0,0,1,0.00,,0,0.0,29.8,0,FW,HOME
117,Joe Rothwell,0,1,10/23/2021,26-285,eng ENG,Blackburn,,Reading,eng Championship,W 2-0,Y,86,0,0,0,0,0,0,0,1,0.00,,0,0.0,15.0,0,MF,HOME
118,Joe Rothwell,0,1,11/24/2021,26-317,eng ENG,Blackburn,,P'borough Utd,eng Championship,W 4-0,Y,90,0,2,2,0,0,0,0,1,0.00,0.00,1,100.0,21.7,0,MF,HOME
119,Joe Rothwell,0,2,9/14/2021,26-246,eng ENG,Blackburn,,Hull City,eng Championship,W 2-0,Y,90,0,1,1,0,0,0,0,2,0.00,,0,0.0,19.1,1,MF,HOME
120,Joe Rothwell,0,2,2/9/2022,27-029,eng ENG,Blackburn,,Nott'ham Forest,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.00,,0,0.0,27.5,1,MF,HOME
